name,website,coverage_priority,is_public_listed,seed_source,notes
# Ireland's employer universe: name and website only. The ATS is found by
# `jobfinder detect-all`, not curated here - see registry/universe.py.
#
# coverage_priority 1-2 are crawled on every run; 3+ wait for the staleness window.
# A wrong domain is cheap: detection fails, the company is marked UNRESOLVED, and it
# appears in `jobfinder coverage` as work to do rather than corrupting anything.
#
# --- Multinational technology employers with major Dublin sites -------------------
Google,google.com,1,false,mnc-tech,EMEA HQ Dublin
Meta,meta.com,1,false,mnc-tech,International HQ Dublin
Microsoft,microsoft.com,1,false,mnc-tech,Leopardstown campus
Amazon,amazon.jobs,1,false,mnc-tech,AWS and corporate Dublin
Apple,apple.com,1,false,mnc-tech,Cork and Dublin
LinkedIn,linkedin.com,1,false,mnc-tech,EMEA HQ Dublin
Salesforce,salesforce.com,1,false,mnc-tech,Dublin tower
Intel,intel.com,1,false,mnc-tech,Leixlip fab
IBM,ibm.com,1,false,mnc-tech,Dublin technology campus
Oracle,oracle.com,1,false,mnc-tech,East Point Dublin
SAP,sap.com,1,false,mnc-tech,Dublin
Dell Technologies,dell.com,1,false,mnc-tech,Cherrywood
HP,hp.com,2,false,mnc-tech,Leixlip
HPE,hpe.com,2,false,mnc-tech,
Cisco,cisco.com,1,false,mnc-tech,Oranmore and Dublin
VMware,vmware.com,2,false,mnc-tech,Ballycoolin
Adobe,adobe.com,2,false,mnc-tech,Dublin
Workday,workday.com,1,false,mnc-tech,EMEA HQ Dublin
ServiceNow,servicenow.com,1,false,mnc-tech,Dublin
Stripe,stripe.com,1,false,mnc-tech,Dublin engineering
Airbnb,airbnb.com,1,false,mnc-tech,EMEA HQ Dublin
Booking.com,booking.com,2,false,mnc-tech,
Uber,uber.com,2,false,mnc-tech,Limerick and Dublin
Twilio,twilio.com,2,false,mnc-tech,Dublin
Zendesk,zendesk.com,2,false,mnc-tech,Dublin EMEA
HubSpot,hubspot.com,1,false,mnc-tech,Dublin EMEA HQ
Datadog,datadoghq.com,1,false,mnc-tech,Dublin EMEA
