company,platform,platform_slug,how_covered,dublin_jobs_active,all_jobs_active,coverage_state,priority,sector,website,careers_url
Amazon,amazon,IRL,crawled,193,206,ats_detected,1,bespoke,https://amazon.jobs,
Dunnes Stores,oleeo,dunnes.tal.net|3,crawled,75,156,ats_detected,2,retail,https://dunnesstores.com,https://www.dunnesstores.com/careers
Grant Thornton Ireland,oracle_recruiting,ehzq.fa.us2.oraclecloud.com|GrantThorntonIrelandExperiencedHires,crawled,70,410,ats_detected,2,finance,https://grantthornton.ie,https://www.grantthornton.ie/
PwC Ireland,workday,pwc:wd3:Global_Experienced_Careers,crawled,68,68,ats_detected,1,consulting,https://pwc.ie,https://www.pwc.ie/careers-ie.html
Stripe,greenhouse,stripe,crawled,60,633,ats_detected,1,manual,https://stripe.com,
MongoDB,greenhouse,mongodb,crawled,58,405,ats_detected,1,manual,https://mongodb.com,
BNY Mellon,oracle_recruiting,eofe.fa.us2.oraclecloud.com|BNY-Careers,crawled,45,1366,ats_detected,1,finance,https://bny.com,https://www.bny.com/corporate/global/en.html
Version 1,smartrecruiters,Version1,crawled,44,45,ats_detected,1,irish-tech,https://version1.com,https://www.version1.com/careers/job-listings/
Accenture,workday,accenture:wd103:AccentureCareers,crawled,42,42,ats_detected,1,ats-detection,https://accenture.com,
Citi,workday,citi:wd5:2,crawled,41,41,ats_detected,1,finance,https://citi.com,https://jobs.citi.com
Intercom,greenhouse,intercom,crawled,39,121,ats_detected,1,manual,https://intercom.com,
Mastercard,workday,mastercard:wd1:CorporateCareers,crawled,39,39,ats_detected,1,mnc-tech,https://mastercard.com,https://careers.mastercard.com/us/en
PM Group,icims,professionalapply-pmgroup-global,crawled,38,342,ats_detected,2,engineering,https://pmgroup-global.com,https://careers.pmgroup-global.com/careers/jobs
Circle K Ireland,workday,circlek:wd3:CircleKStoreJobs,crawled,36,36,ats_detected,3,retail,https://circlek.ie,https://workwithus.circlek.com/Ireland
Workday,workday,workday:wd5:Workday,crawled,27,27,ats_detected,1,ats-detection,https://workday.com,
Designer Group,workable,designer-group-1,crawled,26,45,ats_detected,3,construction,https://designergrp.com,https://apply.workable.com/designer-group-1/j/19FB921376
Uniphar,workday,uniphar:wd3:uniphar_external_careers,crawled,26,32,ats_detected,1,euronext-dublin,,
Toast,greenhouse,toast,crawled,25,330,ats_detected,2,manual,https://toasttab.com,
Datadog,greenhouse,datadog,crawled,24,446,ats_detected,1,manual,https://datadoghq.com,
Davy,workable,davy,crawled,23,25,ats_detected,2,finance,https://davy.ie,https://www.davy.ie/working-at-davy/opportunities
State Street,workday,statestreet:wd1:Global,crawled,23,23,ats_detected,1,finance,https://statestreet.com,https://careers.statestreet.com/global/en
ESB,successfactors,careers.esb.ie,crawled,20,29,ats_detected,1,utilities,https://esb.ie,https://esb.ie/careers
MSD Ireland,workday,msd:wd5:SearchJobs,crawled,17,17,ats_detected,1,pharma,https://msd.ie,https://msd-ireland.com/
Susquehanna,jsonld,https://careers.sig.com/jobs,crawled,17,60,generic_extraction,2,finance,https://sig.com,https://careers.sig.com/jobs
Klaviyo,greenhouse,klaviyo,crawled,16,137,ats_detected,2,manual,https://klaviyo.com,
Notion,ashby,notion,crawled,16,127,ats_detected,2,manual,https://notion.so,
Fiserv,workday,fiserv:wd5:EXT,crawled,14,14,ats_detected,2,finance,https://fiserv.com,https://careers.fiserv.com/us/en/search-results
West Pharmaceutical,successfactors,careers.westpharma.com,crawled,14,258,ats_detected,3,medtech,https://westpharma.com,https://www.westpharma.com/careers
Ethos Engineering,jsonld,https://careers.ethoseng.ie/,crawled,12,21,generic_extraction,3,engineering,https://ethoseng.ie,https://careers.ethoseng.ie/
Google,google,"Dublin, Ireland",crawled,11,110,ats_detected,1,bespoke,https://google.com,
Walkers Ireland,successfactors,careers.walkersglobal.com,crawled,11,39,ats_detected,3,legal,https://walkersglobal.com,https://www.walkersglobal.com/en/Join-Us
Byrne Wallace,bamboohr,byrnewallaceshields,crawled,10,10,ats_detected,3,legal,https://byrnewallace.com,https://byrnewallace.com/careers/
CarTrawler,lever,cartrawler,crawled,10,12,ats_detected,2,irish-tech,https://cartrawler.com,https://corporate.cartrawler.com/en-gb/careers/
EirGrid,candidatemanager,YGTAZW|BEVDEV,crawled,10,10,ats_detected,2,utilities,https://eirgrid.ie,https://www.eirgrid.ie/careers
Pinterest,greenhouse,pinterest,crawled,10,184,ats_detected,2,mnc-tech,https://pinterest.com,https://www.pinterestcareers.com/
Anthropic,greenhouse,anthropic,crawled,9,596,ats_detected,2,mnc-tech,https://anthropic.com,https://www.anthropic.com/careers/jobs
eBay,workday,ebay:wd5:apply,crawled,9,9,ats_detected,2,mnc-tech,https://ebay.com,https://careers.ebayinc.com/
Eurofins,smartrecruiters,Eurofins,crawled,9,29,ats_detected,3,pharma,https://eurofins.com,https://careers.eurofins.com
Veolia Ireland,workday,veoliauki:wd3:VeoliaIrelandCareers,crawled,9,9,ats_detected,3,utilities,https://veolia.ie,https://www.veolia.ie/
Bearingpoint Ireland,greenhouse,bearingpoint,crawled,8,8,ats_detected,3,consulting,https://bearingpoint.com,https://www.bearingpoint.com/en/careers/
Dell Technologies,oracle_recruiting,enterpriseplatform.dell.com|careers,crawled,8,449,ats_detected,1,mnc-tech,https://dell.com,https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers
Squarespace,greenhouse,squarespace,crawled,8,28,ats_detected,2,mnc-tech,https://squarespace.com,https://www.squarespace.com/about/careers
Elavon,workday,usbank:wd1:US_Bank_Careers,crawled,7,7,ats_detected,2,finance,https://elavon.com,https://careers.usbank.com/global/en
Learnupon,greenhouse,learnupon,crawled,7,14,ats_detected,1,manual,https://learnupon.com,
Phorest,teamtailor,careers.phorest.com,crawled,7,9,ats_detected,2,irish-tech,https://phorest.com,https://careers.phorest.com/
SAP,successfactors,jobs.sap.com,crawled,7,897,ats_detected,1,mnc-tech,https://sap.com,https://jobs.sap.com
Scopely,greenhouse,scopely,crawled,7,178,ats_detected,3,mnc-tech,https://scopely.com,https://careers.scopely.com/us/en/c/art-jobs
Asana,greenhouse,asana,crawled,6,122,ats_detected,3,manual,https://asana.com,
Cairn Homes,workday,cairnhomes:wd502:External,crawled,6,16,ats_detected,1,euronext-dublin,https://cairnhomes.com,
Capgemini,successfactors,careers.capgemini.com,crawled,6,1970,ats_detected,2,consulting,https://capgemini.com,https://careers.capgemini.com
Glanbia,successfactors,careers.glanbia.com,crawled,6,226,ats_detected,1,fmcg,https://glanbia.com,https://careers.glanbia.com
Ocuco,bamboohr,ocuco,crawled,6,7,ats_detected,3,irish-tech,https://ocuco.com,https://www.ocuco.com/company/careers/
AIB,successfactors,jobs.aib.ie,crawled,5,8,ats_detected,1,finance,https://aib.ie,https://www.aib.ie/careers
AMCS Group,jsonld,https://www.amcsgroup.com/careers/,crawled,5,27,generic_extraction,2,irish-tech,https://amcsgroup.com,https://www.amcsgroup.com/careers/
BAM Ireland,jsonld,https://www.bamcareers.com/ie/en,crawled,5,68,generic_extraction,2,construction,https://bamireland.ie,https://www.bamcareers.com/ie/en
FreeNow,greenhouse,freenow,crawled,5,48,ats_detected,3,mnc-tech,https://free-now.com,https://free-now.com
Gilead Sciences,workday,gilead:wd1:gileadcareers,crawled,5,5,ats_detected,2,pharma,https://gilead.com,https://www.gilead.com/
Smyths Toys,successfactors,careers.smythstoys.com,crawled,5,128,ats_detected,2,retail,https://smythstoys.com,https://careers.smythstoys.com
Udemy,greenhouse,udemy,crawled,5,10,ats_detected,2,manual,https://udemy.com,
Bank of Ireland,jsonld,https://careers.bankofireland.com/home?utm_source=BOI&amp;utm_medium=Footer&amp;utm_campaign=Careers,crawled,4,5,generic_extraction,1,finance,https://bankofireland.com,https://careers.bankofireland.com/home?utm_source=BOI&amp;utm_medium=Footer&amp;utm_campaign=Careers
Barclays,workday,barclays:wd3:External_Career_Site_Barclays,crawled,4,4,ats_detected,2,finance,https://barclays.com,https://search.jobs.barclays/
Bristol Myers Squibb,workday,bristolmyerssquibb:wd5:BMS,crawled,4,4,ats_detected,2,pharma,https://bms.com,https://careers.bms.com
Manna,workable,manna-1,crawled,4,8,ats_detected,3,irish-tech,https://manna.aero,https://www.manna.aero/
Sherry FitzGerald,bamboohr,sherryfitz,crawled,4,13,ats_detected,3,property,https://sherryfitz.ie,https://sherryfitz.ie/careers
Tenable,greenhouse,tenableinc,crawled,4,40,ats_detected,3,mnc-tech,https://tenable.com,https://www.tenable.com/careers
Tines,greenhouse,tines,crawled,4,23,ats_detected,1,manual,https://tines.com,
Workhuman,ashby,workhuman,crawled,4,11,ats_detected,1,manual,https://workhuman.com,
Bord Gais Energy,workday,centrica:wd3:Centrica,crawled,3,3,ats_detected,2,utilities,https://bordgaisenergy.ie,https://www.bordgaisenergy.ie/company/careers
Equal1,ashby,equal1,crawled,3,8,ats_detected,3,irish-tech,https://equal1.com,https://www.equal1.com/
Integrity360,bamboohr,integrity360,crawled,3,45,ats_detected,3,irish-tech,https://integrity360.com,https://www.integrity360.com/careers
Kepak,workable,kepak,crawled,3,64,ats_detected,3,fmcg,https://kepak.com,https://www.kepak.com/
Palo Alto Networks,workday,paloaltonetworks:wd5:panwexternalcareers,crawled,3,3,ats_detected,3,mnc-tech,https://paloaltonetworks.com,https://jobs.paloaltonetworks.com/en/
